Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0315983,2023-01-22,2023-01-22,,House of Sand and Fog,https://www.imdb.com/title/tt0315983/,movie,7.5,126,2003,"Crime, Drama",69668,2003-12-19,Vadim Perelman,,
2,tt0093010,2023-01-22,2023-01-22,,Fatal Attraction,https://www.imdb.com/title/tt0093010/,movie,6.9,119,1987,"Drama, Thriller",88852,1987-09-16,Adrian Lyne,,
3,tt0093693,2023-01-22,2023-01-22,,Overboard,https://www.imdb.com/title/tt0093693/,movie,6.9,112,1987,"Comedy, Romance",61973,1987-12-16,Garry Marshall,,
4,tt2486678,2023-01-22,2023-01-22,,5 to 7,https://www.imdb.com/title/tt2486678/,movie,7.1,95,2014,"Comedy, Drama, Romance",20563,2014-04-19,Victor Levin,,
5,tt8134186,2023-01-22,2023-01-22,,Devs,https://www.imdb.com/title/tt8134186/,tvMiniSeries,7.7,409,2020,"Drama, Mystery, Sci-Fi, Thriller",40604,2020-03-05,,,
6,tt10288566,2023-01-22,2023-01-22,,Druk,https://www.imdb.com/title/tt10288566/,movie,7.7,117,2020,"Comedy, Drama",163973,2020-09-12,Thomas Vinterberg,,
7,tt0106856,2023-01-22,2023-01-22,,Falling Down,https://www.imdb.com/title/tt0106856/,movie,7.6,113,1993,"Action, Crime, Drama, Thriller",192879,1993-02-26,Joel Schumacher,,
8,tt0134119,2023-01-22,2023-01-22,,The Talented Mr. Ripley,https://www.imdb.com/title/tt0134119/,movie,7.4,139,1999,"Crime, Drama, Thriller",215286,1999-12-12,Anthony Minghella,,
9,tt1850397,2023-01-22,2023-01-22,,The Loft,https://www.imdb.com/title/tt1850397/,movie,6.3,108,2014,"Mystery, Romance, Thriller",57462,2014-10-14,Erik Van Looy,,
10,tt2798920,2023-01-22,2023-01-22,,Annihilation,https://www.imdb.com/title/tt2798920/,movie,6.8,115,2018,"Adventure, Drama, Horror, Mystery, Sci-Fi, Thriller",330942,2018-02-13,Alex Garland,,
11,tt9054904,2023-01-22,2023-01-22,,Why Women Kill,https://www.imdb.com/title/tt9054904/,tvSeries,8.3,50,2019,"Comedy, Crime, Drama",24707,2019-07-21,,,
12,tt7826376,2023-01-22,2023-01-22,,Upload,https://www.imdb.com/title/tt7826376/,tvSeries,7.9,30,2020,"Comedy, Mystery, Sci-Fi",67916,2020-01-05,,,
13,tt8690918,2023-01-22,2023-01-22,,Resident Alien,https://www.imdb.com/title/tt8690918/,tvSeries,8.1,44,2021,"Comedy, Drama, Mystery, Sci-Fi",41425,2021-01-27,,,
14,tt9815454,2023-01-22,2023-01-22,,Unorthodox,https://www.imdb.com/title/tt9815454/,tvMiniSeries,8.0,53,2020,Drama,82427,2020-03-26,,,
15,tt0124298,2023-01-22,2023-01-22,,Blast from the Past,https://www.imdb.com/title/tt0124298/,movie,6.7,112,1999,"Comedy, Drama, Romance, Sci-Fi",66992,1999-01-27,Hugh Wilson,,
16,tt6628394,2023-01-22,2023-01-22,,Bad Times at the El Royale,https://www.imdb.com/title/tt6628394/,movie,7.1,141,2018,"Crime, Drama, Mystery, Thriller",152735,2018-09-22,Drew Goddard,,
17,tt9561862,2023-01-22,2023-01-22,,"Love, Death & Robots",https://www.imdb.com/title/tt9561862/,tvSeries,8.4,15,2019,"Animation, Short, Action, Adventure, Comedy, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",172106,2019-03-15,,,
18,tt4975722,2023-01-22,2023-01-22,,Moonlight,https://www.imdb.com/title/tt4975722/,movie,7.4,111,2016,Drama,311600,2016-09-02,Barry Jenkins,,
19,tt0080339,2023-01-22,2023-01-22,,Airplane!,https://www.imdb.com/title/tt0080339/,movie,7.7,88,1980,Comedy,243368,1980-07-02,"Jim Abrahams, Jerry Zucker, David Zucker",,
20,tt0091042,2023-01-22,2023-01-22,,Ferris Bueller's Day Off,https://www.imdb.com/title/tt0091042/,movie,7.8,103,1986,Comedy,362939,1986-06-11,John Hughes,,
21,tt2802154,2023-01-22,2023-01-22,,Leviafan,https://www.imdb.com/title/tt2802154/,movie,7.6,140,2014,"Crime, Drama",54390,2014-05-23,Andrey Zvyagintsev,,
